"maleID","trial_num","fishID","col_location","col_date","lat_to_trial","weight","length","depth","svl","bp_area","bp_length","preg_status","lat_to_preg","MatingSuccess","NumDeveloped_Calc","NumUndeveloped_Calc","totalEggs","depth_adj","fit1","eggs_per_mate","fit2","prop_dev","fit3","StdLength"
"FL2M3",2,3,"TBML","october",12,5.1,203.378,7.164,86.735,"291.69",50.16,1,2,1,131,28,159,0.0352250489236791,2,159,1.33054393305439,0.823899371069182,0.962167660470011,1.33730177335025
"FL2M4",2,4,"TBML","october",12,4.9,208.83,6.801,80.84,"482.708",62.954,0,NA,0,0,0,0,0.0325671598908203,0,NA,0,NA,0,1.69489943227027
"FL2M5",2,5,"TBML","october",12,2,168.044,4.556,68.549,"195.087",47.338,0,NA,0,0,0,0,0.0271119468710576,0,NA,0,NA,0,-0.980261630956425
"FL2M6",2,6,"TBML","october",12,3.5,180.689,5.692,78.81,"262.56",48.773,0,NA,0,0,0,0,0.0315016409410645,0,NA,0,NA,0,-0.15087381051555
"FL2M7",2,7,"TBML","october",12,1.7,179.602,3.381,61.69,NA,NA,0,NA,0,0,0,0,0.0188249574058195,0,NA,0,NA,0,-0.222170335689075
"FL2M8",2,8,"TBML","october",12,2.7,176.745,5.401,72.091,"266.031",51.883,1,4,2,260,89,349,0.0305581487453676,4,174.5,1.4602510460251,0.744985673352435,0.870010522623641,-0.409561478670458
"FL3M1",3,1,"TBML","october",12,3.1,173.07,5.67,75.712,"226.528",45.033,0,NA,0,0,0,0,0.0327613104524181,0,NA,0,NA,0,0.0998907606387696
"FL3M2",3,2,"TBML","october",12,3.9,189.35,6.709,76.701,"341.028",57.531,1,1,1,364,23,387,0.035431740163718,0.8,387,1.54007959067652,0.940568475452196,1.08443229909786,1.16486887668277
"FL3M3",3,3,"FD","october",9,2.2,147.848,5.471,66.634,"176.308",37.232,1,2,1,289,50,339,0.037004220550836,0.8,339,1.34906196702672,0.852507374631268,0.982901890077494,-1.55004032307509
"FL3M4",3,4,"TBML","october",12,1.6,158.925,4.203,62.197,"182.056",43.341,1,10,1,85,3,88,0.0264464369985842,0.8,88,0.350198976691302,0.965909090909091,1.11364886609716,-0.825423456280291
"FL3M5",3,5,"TBML","october",12,4.8,182.257,7.689,82.505,"316.641",49.166,1,3,1,154,131,285,0.0421876800342374,0.8,285,1.13416714042069,0.540350877192982,0.622999770210474,0.700870733126252
"FL3M6",3,6,"TBML","october",19,4,186.13,6.854,79.895,"257.996",47.955,1,1,2,344,9,353,0.0368237253532477,1.6,176.5,0.702387720295623,0.974504249291785,1.12355868936821,0.954228241936963
"FL3M7",3,7,"TBML","october",12,1.8,156.577,4.606,64.718,"182.479",41.926,1,1,2,407,60,467,0.0294168364446886,1.6,233.5,0.929221148379761,0.87152034261242,1.00482296984849,-0.979021037144623
"FL3M8",3,8,"TBML","october",12,3.4,178.187,5.903,66.291,"262.164",54.198,1,4,2,463,37,500,0.0331281182128887,1.6,250,0.99488345650938,0.926,1.0676355153003,0.434626204115253
"FL4M1",4,1,"FD","october",11,5.3,201.136,6.819,86.769,"294.097",50.213,0,NA,0,0,0,0,0.0339024341738923,0,NA,0,NA,0,1.30115262027773
"FL4M2",4,2,"FD","october",11,5.4,191.748,7.68,84.394,"350.439",52.084,0,NA,0,0,0,0,0.0400525689968083,0,NA,0,NA,0,0.659032015272418
"FL4M3",4,3,"FD","october",11,4.1,170.744,7.297,74.834,"298.029",46.94,1,3,1,395,32,427,0.0427364944009746,1.33333333333333,427,2.53600593912398,0.925058548009368,1.08440095734197,-0.777599981695163
"FL4M4",4,4,"FD","october",11,2.6,168.675,5.163,71.59,"236.795",48.457,1,2,2,76,80,156,0.0306091596265007,2.66666666666667,78,0.463251670378619,0.487179487179487,0.571096719695903,-0.919115483586513
"FL4M5",4,5,"FD","october",11,4.3,195.779,6.723,86.756,"319.598",53.536,0,NA,0,0,0,0,0.0343397402172858,0,NA,0,NA,0,0.934744430992106
"FL4M6",4,6,"FD","october",11,4.9,193.452,7.474,83.884,"297.339",48.208,0,NA,0,0,0,0,0.0386349068502781,0,NA,0,NA,0,0.775582240126387
"FL4M7",4,7,"FD","october",11,2.8,167.744,5.433,72.293,"225.355",43.401,1,11,1,164,0,164,0.0323886398321251,1.33333333333333,164,0.974016332590943,1,1.17225116148106,-0.982794039536657
"FL4M8",4,8,"FD","october",11,3.2,167.624,6.005,72.705,"215.416",45.451,1,5,2,9,0,9,0.0358242256478786,2.66666666666667,4.5,0.0267260579064588,1,1.17225116148106,-0.991001801850317
"FL5M1",5,1,"FD","october",12,1.5,140.47,4.437,65.057,"147.348",35.986,0,NA,0,0,0,0,0.031586815690183,0,NA,0,NA,0,-1.05733737085545
"FL5M2",5,2,"FD","october",12,6.3,215.624,8.784,88.203,"374.756",57.601,0,NA,0,0,0,0,0.0407375802322562,0,NA,0,NA,0,1.29370375134136
"FL5M3",5,3,"TBML","october",8,1.8,124.09,4.354,60.552,"257.145",53.488,1,1,1,362,10,372,0.0350874365379966,2,372,1.22368421052632,0.973118279569892,1.03312088176855,-1.56975259268773
"FL5M4",5,4,"TBML","october",8,5.2,203.478,7.501,79.615,"325.367",51.715,0,NA,0,0,0,0,0.0368639361503455,0,NA,0,NA,0,0.913740669267188
"FL5M5",5,5,"TBML","october",8,5.5,195.027,7.412,76.273,"400.462",53.949,1,4,1,230,6,236,0.038004994180293,2,236,0.776315789473684,0.974576271186441,1.03466877334157,0.649368200420749
"FL5M6",5,6,"TBML","october",8,3.6,169.075,6.795,70.83,"231.502",42.485,1,1,1,384,46,430,0.04018926511903,2,430,1.41447368421053,0.893023255813953,0.948087188223523,-0.162487711483494
"FL5M7",5,7,"TBML","october",8,4.5,188.508,6.055,79.24,"344.682",50.366,0,NA,0,0,0,0,0.0321206527043945,0,NA,0,NA,0,0.445434450046838
