"trial","s1","s2","s3","s12","s123","s1_prime","s2_prime","s3_prime","s12_prime","s123_prime","Sex"
12,1.30285714285714,-0.995531729323303,0.276056963421234,0.307325413533833,0.583382376955067,0.0766932888836172,-0.0586024361369075,0.0162502209548238,0.0180908527467097,0.0343410737015334,"F"
2,-6.22528571428572,3.04446747596951,-0.149581510277304,-3.18081823831621,-3.33039974859352,-0.292908227938756,0.143246368814371,-0.00703801513996133,-0.149661859124385,-0.156699874264346,"F"
3,13.2229142857143,-9.17728793876027,5.14879870112804,4.04562634695402,9.19442504808206,0.585600732208677,-0.406432834737049,0.228023885221214,0.179167897471628,0.407191782692843,"F"
4,19.4550476190476,-24.0117471264368,11.1254339165047,-4.55669950738916,6.56873440911556,0.841755946077696,-1.03890935222402,0.481360947312385,-0.197153406146322,0.284207541166063,"F"
5,7.75128571428571,-3.94967604751784,-0.555645145434378,3.80160966676788,3.2459645213335,0.406624706450279,-0.207196060446552,-0.029148589341297,0.199428646003727,0.17028005666243,"F"
6,-22.7592857142857,17.3574877690802,-0.288023483365949,-5.40179794520548,-5.68982142857143,-0.87747468812969,0.669210640355397,-0.0111046242581297,-0.208264047774293,-0.219368672032422,"F"
8,3.79414285714285,-5.05453780633592,-2.3516513041306,-1.26039494919307,-3.61204625332367,0.161970158268933,-0.215775820598657,-0.100390878326128,-0.0538056623297246,-0.154196540655852,"F"
12,-11.6712857142857,8.74876082706766,0.0706091433352092,-2.92252488721804,-2.85191574388283,-1.02441352036861,0.767897307727581,0.00619751438401489,-0.256516212641028,-0.250318698257014,"M"
2,-2.28371428571429,4.38157247459653,-2.72295124745819,2.09785818888224,-0.62509305857594,-0.149789230046522,0.28738812533091,-0.178598861233382,0.137598895284388,-0.0409999659489933,"M"
3,0.541485714285715,0.335634524486315,-1.29312535177385,0.87712023877203,-0.416005113001818,0.0354220169450085,0.0219559842485724,-0.0845915356843269,0.0573780011935809,-0.027213534490746,"M"
4,-15.5410476190476,8.47834733269699,-0.627410602408657,-7.06270028635062,-7.69011088875928,-1.06297687468676,0.579902164328568,-0.0429136424803362,-0.483074710358189,-0.525988352838525,"M"
5,-14.5724285714286,5.68223308270677,1.5450535635331,-8.89019548872181,-7.34514192518871,-0.455868999942841,0.177757187153721,0.0483338806166408,-0.27811181278912,-0.229777932172479,"M"
6,-0.638428571428562,0.764663568166986,-0.285842139595564,0.126234996738424,-0.159607142857141,-0.0354604159806117,0.0424719215678997,-0.0158766095824409,0.007011505587288,-0.00886510399515291,"M"
8,-1.98442857142858,-0.134981619844585,-1.72818585658761,-2.11941019127316,-3.84759604786077,-0.111733304033105,-0.00760014373211661,-0.0973055510891007,-0.119333447765221,-0.216638998854322,"M"
