"trial_num","s1","s2","s3","s12","s123","s1_prime","s2_prime","s3_prime","s12_prime","s123_prime","Sex"
1,-0.0176944444444446,0.077891975308642,-0.00697064010789503,0.0601975308641975,0.0532268907563024,-0.0371855683489191,0.163693038273446,-0.0146490733281671,0.126507469924527,0.11185839659636,"F"
3,-0.161530612244898,0.195221846011132,-0.0837172932330827,0.0336912337662338,-0.0500260594668489,-0.324182437998645,0.391798762543747,-0.168015683502775,0.0676163245451014,-0.100399358957674,"F"
4,0.121628571428571,-0.089757277628032,-0.000821845609245392,0.031871293800539,0.0310494481912936,0.319013072869385,-0.235419561474705,-0.00215557487973585,0.0835935113946801,0.0814379365149442,"F"
5,0.12234693877551,-0.0921059439213077,-0.00787749798444504,0.0302409948542022,0.0223634968697572,0.273602468523963,-0.205975023771039,-0.0176163205708922,0.0676274447529242,0.050011124182032,"F"
6,0.530938775510204,-0.238006444683136,-0.0293128902131535,0.292932330827068,0.263619440613914,0.694127848254332,-0.311159984802041,-0.0383224852813198,0.382967863452292,0.344645378170972,"F"
7,0.10569387755102,-0.134659591836735,0.0624958882592157,-0.0289657142857144,0.0335301739735013,0.217848739952332,-0.277550820197388,0.128812101750169,-0.0597020802450562,0.0691100215051125,"F"
8,0.416585714285714,-0.465911116700201,0.066824276875246,-0.0493254024144869,0.0174988744607592,0.526887911027997,-0.589273531435902,0.0845177893560866,-0.0623856204079045,0.0221321689481821,"F"
1,0.197305555555556,-0.0224987886382624,-0.00669357105377225,0.174806766917293,0.168113195863521,0.425133470037329,-0.048478047455322,-0.014422610052814,0.376655422582007,0.362232812529193,"M"
3,0,0.0855645272601795,-0.0909411181111889,0.0855645272601795,-0.00537659085100945,0,0.118018564131534,-0.125434458924355,0.118018564131534,-0.00741589479282012,"M"
4,0.146742857142857,-0.0621026455026455,0.0281284407600197,0.0846402116402116,0.112768652400231,0.374537322496161,-0.158506921695311,0.0717932790281812,0.21603040080085,0.287823679829031,"M"
5,0,0.0821702127659575,-0.133424108941772,0.0821702127659575,-0.0512538961758144,0,0.0894899374580012,-0.145309532039272,0.0894899374580012,-0.0558195945812709,"M"
6,0,0.106911965811966,0.103150894785437,0.106911965811966,0.210062860597403,0,0.172865735870623,0.166784467925311,0.172865735870623,0.339650203795934,"M"
7,-0.0701224489795919,0.0138695754163734,0.0356205799147203,-0.0562528735632185,-0.0206322936484982,-0.095315872456913,0.0188526028491008,0.0484182555144484,-0.0764632696078122,-0.0280450140933637,"M"
8,0,0.0227544351073763,-0.0344764463623952,0.0227544351073763,-0.0117220112550189,0,0.038586262284807,-0.0584640838460636,0.038586262284807,-0.0198778215612566,"M"
